date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:28	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2022:00:25%20GMT	https://www.wisecrypto.co/robots.txt		(from )
23:00:28	87642/87642	---M-Z	200	added ('OK')	text/html	etag:%2216c0039-1565a-604490d81d480-gzip%22	https://www.wisecrypto.co/	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/index.html	(from )
23:00:29	1710/1710	---M--	200	added ('OK')	image/x-icon	etag:%221781c7a-6ae-5f8698d464340%22	https://www.wisecrypto.co/assets/images/favicon.ico	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/favicon.ico	(from https://www.wisecrypto.co/)
23:00:30	23160/23160	---M--	200	added ('OK')	font/woff2	etag:%221781fa6-5a78-5e98eaf1b8f00%22	https://www.wisecrypto.co/assets/fonts/unicons/brand-icons.woff2	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/fonts/unicons/brand-icons.woff2	(from https://www.wisecrypto.co/)
23:00:32	16466/16466	---M-Z	200	added ('OK')	text/css	etag:%221781c61-4052-5e9317586ef80-gzip%22	https://www.wisecrypto.co/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/css/swiper-bundle.min.css	(from https://www.wisecrypto.co/)
23:00:32	139488/139488	---M--	200	added ('OK')	font/woff	etag:%221781fa4-220e0-5e98eb00fb300%22	https://www.wisecrypto.co/assets/fonts/unicons/Unicons.woff	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/fonts/unicons/Unicons.woff	(from https://www.wisecrypto.co/)
23:00:32	261762/261762	---M-Z	200	added ('OK')	text/css	etag:%221781c6b-3fe82-5e9317586ef80-gzip%22	https://www.wisecrypto.co/assets/css/uikit.min.css	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/css/uikit.min.css	(from https://www.wisecrypto.co/)
23:00:33	673748/673748	---M-Z	200	added ('OK')	text/css	etag:%221781ec6-a47d4-5eae523e25880-gzip%22	https://www.wisecrypto.co/assets/css/theme/main.min.css	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/css/theme/main.min.css	(from https://www.wisecrypto.co/)
23:00:34	135140/135140	---M-Z	200	added ('OK')	text/javascript	etag:%221781ea3-20fe4-5e9317586ef80-gzip%22	https://www.wisecrypto.co/assets/js/uikit.min.js	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/js/uikit.min.js	(from https://www.wisecrypto.co/)
23:00:35	11188/11188	---M-Z	200	added ('OK')	text/javascript	etag:%221781e8c-2bb4-5e93175a57400-gzip%22	https://www.wisecrypto.co/assets/js/uikit-components.js	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/js/uikit-components.js	(from https://www.wisecrypto.co/)
23:00:37	89546/89546	---M-Z	200	added ('OK')	text/javascript	etag:%221781e9b-15dca-5e93175a57400-gzip%22	https://www.wisecrypto.co/assets/js/jquery.min.js	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/js/jquery.min.js	(from https://www.wisecrypto.co/)
23:00:37	142919/142919	---M-Z	200	added ('OK')	text/javascript	etag:%221781e97-22e47-5e93175a57400-gzip%22	https://www.wisecrypto.co/assets/js/swiper-bundle.min.js	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/js/swiper-bundle.min.js	(from https://www.wisecrypto.co/)
23:00:38	75942/75942	---M-Z	200	added ('OK')	text/javascript	etag:%221781e93-128a6-5e93175a57400-gzip%22	https://www.wisecrypto.co/assets/js/feather.min.js	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/js/feather.min.js	(from https://www.wisecrypto.co/)
23:00:39	11694/11694	---M-Z	200	added ('OK')	text/javascript	etag:%221781e9f-2dae-5e93175c3f880-gzip%22	https://www.wisecrypto.co/assets/js/typed.min.js	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/js/typed.min.js	(from https://www.wisecrypto.co/)
23:00:40	17635/17635	---M-Z	200	added ('OK')	text/javascript	etag:%221781e99-44e3-5e93175c3f880-gzip%22	https://www.wisecrypto.co/assets/js/anime.min.js	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/js/anime.min.js	(from https://www.wisecrypto.co/)
23:00:41	10496/10496	---M-Z	200	added ('OK')	text/javascript	etag:%221781ea5-2900-5e93175c3f880-gzip%22	https://www.wisecrypto.co/assets/js/app.js	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/js/app.js	(from https://www.wisecrypto.co/)
23:00:43	4137/4137	---M-Z	200	added ('OK')	text/javascript	etag:%221781e8f-1029-5e93175c3f880-gzip%22	https://www.wisecrypto.co/assets/js/swiper-helper.js	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/js/swiper-helper.js	(from https://www.wisecrypto.co/)
23:00:44	781/781	---M-Z	200	added ('OK')	text/javascript	etag:%221781ea7-30d-5e946ecd64080-gzip%22	https://www.wisecrypto.co/assets/js/typed-helper.js	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/js/typed-helper.js	(from https://www.wisecrypto.co/)
